Date,Open,High,Low,Close,Volume,Market Cap
"Dec 01, 2017",787.47,806.37,756.48,797.53,"286,044,000","6,079,550,000"
"Nov 30, 2017",681.13,826.95,670.99,786.93,"498,872,000","5,257,210,000"
"Nov 29, 2017",626.26,815.01,625.37,677.39,"415,879,000","4,832,510,000"
"Nov 28, 2017",632.44,637.06,616.31,626.42,"149,795,000","4,878,960,000"
"Nov 27, 2017",621.15,638.95,611.79,632.30,"134,862,000","4,790,590,000"
"Nov 26, 2017",641.46,646.28,617.74,621.62,"145,500,000","4,945,950,000"
"Nov 25, 2017",566.96,656.13,566.96,643.57,"242,807,000","4,370,400,000"
"Nov 24, 2017",564.34,573.20,553.58,566.63,"129,105,000","4,349,120,000"
"Nov 23, 2017",577.25,583.73,557.12,566.68,"173,698,000","4,447,480,000"
"Nov 22, 2017",494.76,594.53,494.29,578.85,"381,958,000","3,810,980,000"
"Nov 21, 2017",500.24,519.42,454.48,494.21,"245,163,000","3,852,180,000"
"Nov 20, 2017",442.03,502.53,438.42,486.54,"104,701,000","3,403,030,000"
"Nov 19, 2017",455.36,455.66,431.79,442.31,"82,954,600","3,504,790,000"
"Nov 18, 2017",424.35,483.10,423.25,454.74,"145,255,000","3,265,280,000"
"Nov 17, 2017",420.59,436.02,412.45,424.98,"95,099,300","3,235,510,000"
"Nov 16, 2017",424.51,427.85,412.84,418.18,"97,321,300","3,264,810,000"
"Nov 15, 2017",428.08,444.38,418.47,424.41,"103,157,000","3,291,450,000"
"Nov 14, 2017",428.31,447.92,408.95,427.54,"123,854,000","3,292,370,000"
"Nov 13, 2017",507.05,530.94,403.50,427.37,"310,886,000","3,896,620,000"
"Nov 12, 2017",345.68,536.12,327.80,536.12,"476,198,000","2,655,840,000"
"Nov 11, 2017",331.43,349.08,321.04,346.06,"88,651,000","2,545,670,000"
"Nov 10, 2017",325.27,353.36,308.46,329.57,"116,352,000","2,497,710,000"
"Nov 09, 2017",315.48,337.23,311.82,326.01,"110,840,000","2,421,910,000"
"Nov 08, 2017",293.04,316.63,289.09,316.33,"103,556,000","2,249,050,000"
"Nov 07, 2017",274.87,304.55,274.87,293.38,"92,431,200","2,109,120,000"
"Nov 06, 2017",273.47,280.44,268.46,275.68,"60,053,700","2,097,820,000"
"Nov 05, 2017",274.33,277.00,270.29,273.17,"41,028,900","2,103,900,000"
"Nov 04, 2017",278.58,280.96,271.31,274.68,"49,462,600","2,135,920,000"
"Nov 03, 2017",263.89,281.39,262.98,278.59,"62,984,900","2,021,200,000"
"Nov 02, 2017",271.79,272.78,251.56,265.31,"72,437,900","2,081,130,000"
"Nov 01, 2017",278.50,279.67,270.77,271.56,"50,960,300","2,131,960,000"
"Oct 31, 2017",285.39,286.21,278.73,279.15,"50,260,500","2,184,110,000"
"Oct 30, 2017",283.65,287.69,282.32,285.94,"40,805,700","2,170,290,000"
"Oct 29, 2017",275.25,288.60,275.25,283.93,"75,483,100","2,105,420,000"
"Oct 28, 2017",281.42,287.92,272.36,275.69,"47,092,100","2,152,090,000"
"Oct 27, 2017",286.14,289.13,279.33,280.48,"38,421,900","2,187,650,000"
"Oct 26, 2017",289.03,292.41,282.78,286.13,"49,309,000","2,209,130,000"
